ID , ancient_name , present_name , alternative_name , aqueduct_name
1209 ,AQUAE FLAVIANAE ,,,
233 ,AQUAE GRANNI ,Aachen ,,
259 ,AQUAE MATTIACORUM ,Wiesbaden ,,
174 ,AQUAE NERI ,Néris les Bains ,,aqueduc des Combes
175 ,AQUAE NERI ,Néris les Bains ,,aqueduc des Viviers
99 ,AQUAE SEXTIAE ,Aix-en-Provence ,,Beaulieu (Trévaresse)
100 ,AQUAE SEXTIAE ,Aix-en-Provence ,,Traconnade
101 ,AQUAE SEXTIAE ,Aix-en-Provence ,,Saint-Antonin
342 ,AQUAE STATIELLAE ,Acqui Terme ,,
1063 ,AQUAE TARBELLICAE ,Dax ,,
1160 ,AQUAEDUCTUS (?) ,Audun -le-Tyche ,,
358 ,AQUILEIA ,Aquileia ,,
929 ,AQUILEIA ,Aquileia ,,
308 ,AQUINCUM ,Budapest ,,
359 ,AQUINUM ,Aquino ,,
755 ,ARABEIA ,South Shields ,,
181 ,ARAUSIO ,Orange ,,
73 ,ARBA ,Rab ,,
311 ,ARCHELAIS ,Khirbet el-Beiyudat ,,
1140 ,AREGENUA ,Vieux-la-Romaine ,,
108 ,ARELATE ,Arles ,,Fontvieille, Eygalieres
109 ,ARELATE ,Arles ,,Trinquetaille
114 ,ARELATE ,Arles - Barbegal ,,Caparon
107 ,ARGENTOMAGUS ,Argenton sur Creuse ,Saint Marcel ,
207 ,ARGENTORATE ,Strasbourg ,,
262 ,ARGOS ,Argos ,,south aqueduct
760 ,ARGOS ,Argos ,,north aqueduct
761 ,ARGOS ,Argos ,,III
973 ,ARIAGINIE (?) ,Bagnoregio ,,Fontane Secche
645 ,ARIASSOS ,Uçkapi ,,
1195 ,ARIELDELA ,Ain Gharandal ,,
427 ,ARIMINUM ,Rimini ,,
309 ,ARRABONA ,Imre ,,
360 ,ARRETIUM ,Arezzo ,,
1002 ,ARUCCI ,Aroche ,,
1006 ,ARUNDA ,Ronda ,,
1279 ,ARYCANDA ,,ARYKANDA ,
856 ,ASCULUM ,Ascoli Piceno ,,
1133 ,ASIDO ,Medina Sidonia ,,
895 ,ASISIUM ,Assisi ,,del Sanguinone (North)
896 ,ASISIUM ,Assisi ,,del Pranzo (West)
897 ,ASISIUM ,Assisi ,,San Rufino
646 ,ASPENDOS ,Büyükbelkis ,Aspendus ,
74 ,ASSERIA ,Podgrade ,,
1211 ,ASTIGI ,Écija ,,
31 ,ASTORA ,Stora ,,
1312 ,ASTURA ,Torre Astura ,Nettuno ,
1210 ,ATELLA ,Orta di Atella, Sant'Arpino ,,
362 ,ATESTE ,Este ,,
263 ,ATHENAE ,Athinai ,Athens, Athen, Αθήνα ,Hadrianic aqueduct
264 ,ATHENAE ,Athinai ,Athens, Athen, Αθήνα ,Peiristratos
265 ,ATHENAE ,Athinai ,Athens, Athen, Αθήνα ,
918 ,ATINA LATII ,Atina ,,
1320 ,ATTALIA ,ANTALYA ,,
972 ,ATTIDIUM ,Attigio ,,
1039 ,ATTOUDA ,Hisarköy, near Denizli ,,
49 ,ATUATUCA TONGRORUM ,Tongeren ,Troinges ,
487 ,AUARA ,Humayma ,,
1158 ,AUGARMI ,Wadi Hallouf ,,
1060 ,AUGUSTA AUSCORUM ,Auch ,,L'aqueduc de Pavie
791 ,AUGUSTA BAGIENNORUM ,Bene Vagienna ,,
356 ,AUGUSTA PRAETORIA ,Aosta ,,La Comba
928 ,AUGUSTA PRAETORIA ,Aosta ,,
585 ,AUGUSTA RAURICA ,Augst ,,
206 ,AUGUSTA SUESSIONUM ,Soissons ,,
53 ,AUGUSTA TRAIANA ,Stara Zagora ,BEROE ,
258 ,AUGUSTA TREVERORUM ,Trier ,,Ruwerkanal
234 ,AUGUSTA VINDELICORUM ,Augsburg ,,
212 ,AUGUSTOBONA ,Troyes ,,
530 ,AUGUSTOBRIGA ,Talavera la Vieja ,,
111 ,AUGUSTODUNUM ,Autun ,,aqueduc de Montjeu
1255 ,AUGUSTODUNUM ,Autun ,,aqueduc de Montdru
115 ,AUGUSTODURUM ,Bayeux ,,
202 ,AUGUSTOMAGUS ,Senlis ,,
203 ,AUGUSTOMAGUS ,Senlis ,,
204 ,AUGUSTOMAGUS ,Senlis ,,
136 ,AUGUSTONEMETUM ,Clermont Ferrand ,,
151 ,AUGUSTORITUM LEMOVICUM ,Limoges ,AQUA MARTI ,Beaubreuil
152 ,AUGUSTORITUM LEMOVICUM ,Limoges ,AQUA MARTI ,Aigoulène
1012 ,AURGI ,Jaen, barrio La Magdalena ,,
1013 ,AURGI ,Jaen, barrio La Magdalena ,,
852 ,AUSCULUM ,Ascoli Satriano ,,
112 ,AUTESSIODORUM ,Auxerre ,,
134 ,AUTRICUM ,Chartres ,Crot au Fees ,Houdouenne
135 ,AUTRICUM ,Chartres ,,Landelles
930 ,AUXIMUM ,Osimo ,,
5 ,AUZIA ,Aumale ,Sour Ghozlan ,
124 ,AVARICUM ,Bourges ,,Traslay
898 ,AVARICUM ,Bourges ,,Menetou Salon
899 ,AVARICUM ,Bourges ,,Valentigny
900 ,AVARICUM ,Bourges ,,Nérigny
784 ,AVENNIO ,Avignon ,,
586 ,AVENTICUM ,Avenches ,,Bois du Chatel, Aubert Nr IV
587 ,AVENTICUM ,Avenches ,,aqueduc de Coppet
588 ,AVENTICUM ,Avenches ,,aqueduc Bonne Fontaine - Moulin de Prez
589 ,AVENTICUM ,Avenches ,,aqueduc d´Oleyers
590 ,AVENTICUM ,Avenches ,,aqueduc V
591 ,AVENTICUM ,Avenches ,,aqueduc VI
848 ,AZETIUM ,Rutigliano ,,
6 ,BADIAS ,Badès ,,
532 ,BAELO CLAUDIA ,Bolonia ,,Realillo
1008 ,BAELO CLAUDIA ,Bolonia ,,Punta Paloma
1009 ,BAELO CLAUDIA ,Bolonia ,,Molino
120 ,BAETERRAE ,Béziers ,,Gabian la Resclauze
116 ,BAGACUM ,Bavay ,,
647 ,BALBOURA ,Çölkayığı ,Balbura ,
729 ,BANNA ,Birdoswald ,,
786 ,BANTIANA ,Bances ,BATIANA, UNTIANO ,
1112 ,BARARUS ,,,
533 ,BARCINO ,Barcelona ,,Montcada
1254 ,BARCINO ,Barcelona ,,Collserola
1047 ,BARGYLIA ,Yarköy - Güllük ,,
1193 ,BASILIKE ,,,
1077 ,BASSIANA ,Donji Petrovac ,BASSIANAE ,
974 ,BEGASTRI ,Alcantarilla de las Suerte ,,Acequia de la Pollera
794 ,BENEVENTUM ,Benevento ,,
497 ,BERENICE ,near Benghazi ,EUHEPERIDES ,
925 ,BERGOMUM ,Bergamo ,,
863 ,BEROEA ,Aleppo ,,
494 ,BERYTUS ,Beirut ,,Aqueduct of Zubaida ( bridge )
728 ,BIBRA ,Beckfoot ,,
167 ,BIBRACTE ,Mont Beuvray ,,
1124 ,BILBILIS ,,,
236 ,BINGIUM ,Bingen ,,
562 ,BLANDAE ,Pineda de Mar ,,
1380 ,BLATOBULGIUM ,Birrens ,,
648 ,BLAUNDOS ,Sulmenli ,,
237 ,BONNA ,Bonn ,,
54 ,BONONIA ,Vidin ,,
363 ,BONONIA ,Bologna ,,
861 ,BOSTRA ,Bosra ,,
1 ,BOUTHROTON ,Butrinti ,,
364 ,BOVILLAE ,Frattochi ,,
750 ,BREMENIUM ,Hogh Rochester ,,
126 ,BRIGANTIO ,Briançon ,,
307 ,BRIGETIO ,Szöny ,,
125 ,BRIORATIS ,Briord ,,
366 ,BRIXELLUM ,Brescello ,,
840 ,BRIXIA ,Brescia ,,acquedotto Lumezzane, Val Trompia
365 ,BRIXIA ,Brescia ,,Mompiano
127 ,BROCOMAGUS ,Brumath ,,
367 ,BRUNDISIUM ,Brindisi ,,
1064 ,BUBON ,,,
122 ,BURDIGALA ,Bordeaux ,,aqueduc de Vayres
75 ,BURNUM ,Plavno Polje ,Ivosevci ,Plavno Polje
1212 ,BYBLOS ,,,
931 ,CAERE ,Cerveteri ,,
584 ,CAESARAUGUSTA ,Zaragoza ,,
312 ,CAESAREA MARITIMA ,Qesaria ,,high level
313 ,CAESAREA MARITIMA ,Qesaria ,,lower aqueduct, low level aqueduct
1256 ,CAESAREA MARITIMA ,Qesaria ,,southern aqueduct
598 ,CAESAREA PHILIPPI ,Banias ,PANEAS, PANIAS, BANIAS ,
211 ,CAESARODUNUM ,Tours ,,aqueduc de Fontenay
213 ,CAESARODUNUM ,Tours ,,
118 ,CAESAROMAGUS ,Beauvais ,,
736 ,CAESAROMAGUS ,Chelmsford ,,
878 ,CAIATIA ,Caiazzo ,,
1373 ,CALACTE ,Caronia ,Καλάκτα, Caleacte, Calacta, Calacte ,
535 ,CALAGURRIS ,Alcanadre - Lodosa ,,Puente de los Moros
1120 ,CALAGURRIS ,Calahorra ,,western aqueduct
8 ,CALAMA ,Guelma ,,SW
979 ,CALAMA ,Guelma ,,SE
1007 ,CALDUBA (?) ,Sierra Aznar ,,
372 ,CALES ,Calvi Risorta ,,
932 ,CALES ,Cagli ,,
864 ,CALLATIS ,Mangalia ,,
243 ,CAMBODUNUM ,Kempten ,,
933 ,CAMERINUM ,Camerino ,,
1213 ,CANATHA ,Qanawat ,,
368 ,CANUSIUM ,Canosa ,,Montemilone
369 ,CANUSIUM ,Canosa ,,
934 ,CAPENA ,Capena ,,
888 ,CAPERNAUM ,Ain et Tabigha ,,
521 ,CAPRIS (?) ,Koper ,,
917 ,CAPUA ,Santa Maria de Capua Vetere ,,Aqua Julia
769 ,CARALES ,Cagliari ,KARALIS ,
132 ,CARCASSO ,Carcassonne ,,
1214 ,CARMO ,Carmona ,,
44 ,CARNUNTUM ,Bad Deutsch-Altenburg ,COLONIA SEPTIMIA CARNUNTUM ,
374 ,CARREUM POTENTIA ,Chieri ,,
935 ,CARSIOLI ,Civita di Oricola ,,
936 ,CARSULAE ,S. Gemini ,,
1096 ,CARTEIA ,San Roque ,COLONIA LIBERTINORUM CARTEIA ,
606 ,CARTHAGO ,Carthage ,Zaghouan,Καρχηδών,קרתא חדאתא, قرطاج ,
1073 ,CARTHAGO NOVA ,Cartagena ,,
1199 ,CARTIMA ,Cartama ,,
370 ,CASINUM ,Cassino ,,
1152 ,CASSINOMAGUS ,Chassenon ,,
248 ,CASTELLUM MATTIACORUM ,Mainz Kastel ,,
40 ,CASTELLUM TINGITANUM ,El Asnam ,Orléansville ,
346 ,CASTRA ALBANA ,Albano ,,Cento Bocce
347 ,CASTRA ALBANA ,Albano ,,Malaffitto Basso
371 ,CASTRA ALBANA ,Albano ,VILLA DOMITIANI, Malaffitto Basso, Malaf ,Malaffitto Alto
375 ,CASTRUMNOVUM ,Torre Chiaruccia ,,
537 ,CASTULO ,Cazlona ,,
735 ,CATARACTONIUM ,Catterick ,,
373 ,CATINA ,Catania ,CATANA, KATANE ,
1157 ,CAUDIUM ,Montesarchio, Cirignano ,,
1004 ,CELTI ,Peñaflor ,,
176 ,CEMENELUM ,Nice - Cimiez ,,de Falicon
177 ,CEMENELUM ,Nice - Cimiez ,,de Mouraille
180 ,CENABUM ,Orléans ,VICUS VELLAUNODUNUM ,
378 ,CENTUMCELLAE ,Civitavecchia ,AQUAE TAURI ,
377 ,CENTURIPAE ,Centuripe ,,
968 ,CERCEI ,Circeo ,CIRCEI ,
892 ,CHALKIS ,Chalkida ,,
1028 ,CHEFIRAH ,Horvat Kefira ,,
268 ,CHERSONASOS ,Limin Khersonisos ,,
321 ,CHORSIA ,Kursi ,GERGESA ,
267 ,CHORSIAI ,Kastron Khostion ,KHOSTIA ,
1089 ,CIBALAE ,Vinkovici ,COLONIA AURELIA CIBALAE ,
1281 ,CIBYRA ,Golhisar ,,
1035 ,CIBYRA ,Golhisar ,,
608 ,CILLIUM ,Kasserine ,Al-Qasrayn ,
609 ,CILMA (?) ,Djilma ,,
739 ,CILURNUM ,Chesters ,,
842 ,CINGULUM ,Cingoli ,,
1115 ,CIRRHA ,,,
11 ,CIRTA ,Constantine ,,Bou Merzoug
12 ,CIRTA ,Constantine ,,Sidi Mabrouk
76 ,CISSA ,Kolan ,KOLANIA, Caska ,
989 ,CIVITAS BIIENSIS ,Aïn Batria ,BIIA ,
873 ,CIVITAS POPTHENSIS ,Ksiba ,,
284 ,CNOSOS ,Knossos ,COLONIA JULIA NOBILIS CNOSOS ,
245 ,COLONIA CLAUDIA ARA AGRIPPINENSIUM ,Köln ,OPPIDUM ARA UBIORUM,Cologne,Koln, Keulen ,Vorgebirgs Leitung, Hürther Aqueduct
246 ,COLONIA CLAUDIA ARA AGRIPPINENSIUM ,Köln ,OPPIDUM ARA UBIORUM,Cologne,Koln, Keulen ,Eifelkanal
764 ,COLONIA CLAUDIA ARA AGRIPPINENSIUM ,Köln ,OPPIDUM ARA UBIORUM,Cologne ,Vorgebirgsleitung, Burbacher Aqueduct
765 ,COLONIA CLAUDIA ARA AGRIPPINENSIUM ,Köln ,OPPIDUM ARA UBIORUM,Cologne,Koln, Keulen ,Vorgebirgsleitung, Gleueler Aqueduct
766 ,COLONIA CLAUDIA ARA AGRIPPINENSIUM ,Köln ,OPPIDUM ARA UBIORUM,Cologne,Koln, Keulen ,Vorgebirgs, Frechen, Bachemer Leitung
580 ,COLONIA GENETIVA IULIA ,Urso ,,
261 ,COLONIA ULPIA TRAIANA ,Xanten ,,South Eastern aqueduct
1016 ,COLOPHON ,,,
891 ,COLOSSAE ,Honaz ,,
738 ,CONCANGIS ,Chester-le-Street ,,
824 ,CONDERCUM ,Benwell ,,
512 ,CONIMBRIGA ,Condeixa ,,
542 ,CONSABURA ,Consuegra ,,Puentes secas
381 ,CONSENTIA ,Cosenza ,,
910 ,CONSTANTIA ,Coutences ,,
671 ,CONSTANTINOPOLIS ,Istanbul ,BYZANTIUM ,Aqua Hadriana
672 ,CONSTANTINOPOLIS ,Istanbul ,BYZANTIUM ,Valens, Vize upper aqueduct
673 ,CONSTANTINOPOLIS ,Istanbul ,BYZANTIUM ,Theodosius
937 ,CORA ,Cori ,,
541 ,CORDUBA ,Cordoba ,,Aqua Augusta, acueducto de Valdepuentes
1010 ,CORDUBA ,Cordoba ,,Aqua Nova Domitiana
1011 ,CORDUBA ,Cordoba ,,Aqua Fontis Aureae , estación de autobus
1159 ,COREVA ,Henchir Dermoulya ,,
380 ,CORFINIUM ,Corfinio ,,
740 ,CORINIUM DOBUNNORUM ,Cirencester ,,
269 ,CORINTHIA ,Corinth ,Κόρινθος ,
741 ,CORIOSOPITUM ,Corbridge ,,
868 ,CORNUS ,Santa Caterina di Pittinuri ,,
1061 ,CORONEA ,,,
649 ,CORYCUS ,Kizkalesi (Gorgos) ,KORYKOS ,
283 ,COS ,Kos ,,
1125 ,COTO FORTUNA ,Mazarrón ,,
650 ,CREMNA ,Girme ,COLONIA JULIA AUGUSTA FELIX, KREMNA ,
1070 ,CROCODILOPOLIS ,Kimin Fares, Shedet ,ARSINOE, PTOLOMAIS EVERGETIS ,
137 ,CRUDATIS ,Cruas ,,
14 ,CUICUL ,Djemila ,,
1237 ,CUMAE ,Cuma ,,
914 ,CUPRA ,Cupra montana ,Civita di Marano ,Barlozzo
1143 ,CURUBIS ,Kourba ,qurba ,
905 ,CUSA (?) ,Orbetello ,,
822 ,CYDONIA ,Chania ,KYDONIA ,
332 ,CYPROS ,Kypros ,Tel el Akaba, KYPROS ,
498 ,CYRENE ,Ain Shahat ,,
1069 ,CYZICUS ,,,
862 ,DAMASCUS ,Dimasq ,Damascus ,
1134 ,DARA ,Oğuz ,,
962 ,DARIORIGUM ,Locmariaquer ,,
139 ,DEA VOCONTIORUM ,Die ,DEA AUGUSTA ,Romeyer
1172 ,DEA VOCONTIORUM ,Die ,DEA AUGUSTA ,Valcroissoissant
1176 ,DELION ,Dilesi ,,
1337 ,DELOS ,Delos ,,
270 ,DEMETRIAS ,Volos ,MAGNESIA, PAGASAE ,Dontia (teeth)
1109 ,DERNA ,,Darnah ,
382 ,DERTONA ,Tortona ,IULIA DERTONA ,
1215 ,DERVENTUM ,Drevant ,,north aqueduct
1216 ,DERVENTUM ,Drevant ,,east aqueduct
98 ,destination unknown ,near Vauvenargues ,,Aqueduc de Vauvenargues
144 ,destination unknown ,Fontaines sur Marne ,,
149 ,destination unknown ,Groslée ,,
199 ,destination unknown ,Salleles d'Aude ,,Narbonne or Jasses
737 ,DEVA ,Chester ,,
13 ,DIANA VETERANORUM ,Zana ,,
780 ,DILIS (?) ,Sénèmes ,,
55 ,DIMUS ,Belene ,,
651 ,DIOCAESAREA ,Uzuncaburç ,,
56 ,DIOCLETIANOPOLIS ,Hisar ,,
273 ,DION ,Malathria ,,
1196 ,DION ,Tell-Ashari ,CAPITOLIAS ,
165 ,DIVODURUM MEDIOMATRICORUM ,Metz ,METTIS ,Gorze
129 ,DIVONA ,Cahors ,,
507 ,DOCLEA ,Duklja ,,
316 ,DOK ,Jebel Qarantal ,DOUKA , DOQ ,
315 ,DOR ,Burj et Tantura ,DORA ,
517 ,DROBETA ,Turnu Severin ,,
745 ,DURNOVARIA ,Dorchester ,,
190 ,DUROCORTORUM ,Reims ,,Suippe
57 ,DUROSTORUM ,Silistra ,,
776 ,DYRRACHIUM ,Durrës ,COLONIA JULIA AUGUSTA DYRRACHIUM ,aqueduct of Hadrian
515 ,EBORA ,Evora ,,
1311 ,EBURUM ,Eboli ,,
545 ,EBUSUS ,Santa Eulalia ,,S'Argamassa
710 ,ELAIOUSSA SEBASTE ,Ayes ,,
275 ,ELEUSIS ,Elevsis ,,
274 ,ELEUTHERNA ,Prines ,,
318 ,ELEUTHEROPOLIS ,Beth Govrin ,,east channel
319 ,ELEUTHEROPOLIS ,Beth Govrin ,,north channel
821 ,ELYROS ,Rodovani ,Ἔλυρος ,
557 ,EMERITA AUGUSTA ,Merida ,,Cornalvo, Aqua Augusta
558 ,EMERITA AUGUSTA ,Merida ,Rabo de Buey ,Las Tomas
559 ,EMERITA AUGUSTA ,Merida ,,Proserpina
522 ,EMONA ,Ljubljana ,,
1340 ,EPHESOS ,Selçuk ,Έφεσος, EPHESUS, efes ,Sultaniye, Aqua Julia?
1345 ,EPHESOS ,Selçuk ,Έφεσος, EPHESUS, efes ,Değirmendere-alte Leitung (old channel)
653 ,EPHESOS ,Selçuk ,Έφεσος, EPHESUS, efes ,Aqua Troessitica, Pollio aqueduct
654 ,EPHESOS ,Selçuk ,Έφεσος, EPHESUS, efes ,Lysimachos
655 ,EPHESOS ,Selçuk ,Έφεσος, EPHESUS, efes ,Aristion
656 ,EPHESOS ,Selçuk ,Έφεσος, EPHESUS, efes ,Değirmendere, neue Leitung
657 ,EPHESOS ,Selçuk ,Έφεσος, EPHESUS, efes ,Şirince
276 ,EPIDAUROS ,Palai Epidauros ,,
77 ,EPIDAURUM ,Cavtat ,,
1129 ,EPIPHANEA ,Hama ,,
658 ,EPIPHANEIA ,Gözene ,,
659 ,EPIPHANEIA ,Gözene ,OENIANDOS ,
394 ,EPOREDIA ,Ivrea ,,
286 ,EUA ,Moni Loukous ,Loukou, LOUKOUS, Kynouria, Eva ,
652 ,EUMENEIA ,Işıklı-Çivril ,EUMENIA ,
819 ,EUROPOS ,Axios valley ,,
140 ,EVAUNUM ,Evaux-les-Bains ,,
386 ,FAESULAE ,Fiésole ,,
938 ,FALERII ,Civita Castellana ,,
770 ,FALERIO PICENUS ,Falerone ,,
843 ,FANUM FORTUNAE ,Fano ,,
142 ,FANUM MARTIS ,Famars ,,
1084 ,FELIX ROMULIANA ,Gamzigrad ,,
383 ,FELTRIA ,Feltre ,,
893 ,FERENTIUM ,Ferento ,,
384 ,FIRMUM PICENUM ,Fermo ,,
78 ,FLANONA ,Kozljac ,,
1197 ,FLAVIOBRIGA ,Batna ,Matour, Matar ,Ain el Ksar
1198 ,FLAVIOBRIGA ,Castro Urdiales ,PORTUS AMANUS ,
385 ,FLORENTIA ,Firenze ,Florence ,
561 ,FODINAE ,Riotinto ,,
792 ,FORMIAE ,Formia ,,rione Mola
793 ,FORMIAE ,Formia ,,Pontone
594 ,FORUM CLAUDII VALLENSIUM ,Martigny ,OCTODURUS ,
387 ,FORUM CLODII ,San Liberato ,,
392 ,FORUM CORNELII ,Imola ,,
146 ,FORUM JULII ,Frejus ,,
939 ,FORUM NOVUM ,Fornovo di Taro ,,
940 ,FORUM POPILII ,Forlimpopoli ,,
143 ,FORUM SUGUSIAVORUM ,Feurs ,,
941 ,FORUM TRAIANI ,Fordongianus ,,
1353 ,FRIGIDAE ,Ain el Hammam ,عين الحمام ,
836 ,FUIFOLA ,Faicchio ,FAIFOLA (Livius) ,
320 ,GABA PHILIPPI ,Tel Shosh ,Tel Abu-shush ,
388 ,GABII ,Osteria dell'Osa ,Gabii Castiglione ,
1286 ,GADARA ,Umm Qais ,ADRAA, Dar'a ,Ain Turab
488 ,GADARA ,Umm Qais ,ADRAA, Dar'a ,
534 ,GADES ,Cádiz ,AUGUSTA URBS JULIA GADITANA, GADIR ,
808 ,GAGAI ,Yenice ,GAGAE ,
599 ,GAMALA ,es Salem ,,
768 ,GARACTUM ,Guéret ,,
781 ,GARGARIUS ,St-Jean-de-Gargier ,,
1150 ,GEMELLAE ,Henchir Sidi Aich ,,
595 ,GENAVA ,Genève ,,
389 ,GENUA ,Genova ,,
1122 ,GENUCIANUM ,Genazzano ,,
489 ,GERASA ,Jerash ,ANTIOCHIA AD CHRYSORHOAM ,
661 ,GERGA ,near Ovacik ,,
59 ,GERMANEA ,Sapareva Banya ,,
123 ,GESORIACUM ,Boulogne ,BONONIA ,
141 ,GISACUM ,Vieil-Evreux ,,
1246 ,GITHION ,Githio ,PALAIOPOLIS ,
147 ,GLANUM ,barrage de Péïrou ,St Remy de Provence ,
814 ,GLYKY ,Glyky ,THESPROTIA ,
815 ,GONNOI ,Larissa ,GONNOI ,
816 ,GORITZA ,Goritsa ,,
277 ,GORTYN ,Gortis ,GORTYS ,
890 ,GRACCHURRIS ,Alfaro ,Gracurris ,
390 ,GRUMENTUM ,Grumento nova ,,
15 ,GUNUGU ,Sidi Brahim ,,
278 ,GYTHEION ,Gythion ,,
